frame.time_epoch,tcp.analysis.ack_rtt
"1684649483.332875968","0.016746207"
"1684649483.336150410",
"1684649483.336162143",
"1684649483.336162893",
"1684649483.336163226",
"1684649483.352808693","0.036677574"
"1684649483.352817675","0.036685926"
"1684649483.352821266","0.033451506"
"1684649483.352824872","0.033454354"
"1684649483.352828626","0.016665400"
"1684649483.356110499",
"1684649483.356111678",
"1684649483.356112368",
"1684649483.356112710",
"1684649483.356115185",
"1684649483.356115598",
"1684649483.356118018",
"1684649483.356118329",
"1684649483.356118646",
"1684649483.356129744",
"1684649483.356130092",
"1684649483.356130437",
"1684649483.356144694",
"1684649483.359367201",
"1684649483.359371918",
"1684649483.359372351",
"1684649483.359372704",
"1684649483.359373058",
"1684649483.359373374",
"1684649483.392827496","0.036714786"
"1684649483.392837560","0.036719231"
"1684649483.392842246","0.033468872"
"1684649483.396117106",
"1684649483.396118389",
"1684649483.396118851",
"1684649483.396119210",
"1684649483.396122803",
"1684649483.396123203",
"1684649483.396123566",
"1684649483.396123948",
"1684649483.396145792",
"1684649483.396146190",
"1684649483.396146592",
"1684649483.399380601",
"1684649483.399381720",
"1684649483.399382100",
"1684649483.399382512",
"1684649483.399382890",
"1684649483.399383260",
"1684649483.399383609",
"1684649483.399383963",
"1684649483.432721970","0.036602760"
"1684649483.432757987","0.036634039"
"1684649483.432762496","0.033378533"
"1684649483.436493279",
"1684649483.436494548",
"1684649483.436495060",
"1684649483.436495425",
"1684649483.436498180",
"1684649483.436498571",
"1684649483.453098069","0.016602644"
"1684649483.472883895","0.036385324"
"1684649483.495124317",
"1684649483.495129389",
"1684649483.495130747",
"1684649483.512881998","0.017751251"
"1684649483.532815536",
"1684649483.535681884","0.002866348"
"1684649483.581874672",
"1684649483.581889797",
"1684649483.581896626",
"1684649483.585155091","0.003265294"
"1684649483.588434654","0.006538028"
"1684649483.588435835",
"1684649483.588440484",
"1684649483.588440843",
"1684649483.588441226",
"1684649483.588441586",
"1684649483.588441919",
"1684649483.588442252",
"1684649483.588442589",
"1684649483.588463744",
"1684649483.588464131",
"1684649483.588464494",
"1684649483.588464808",
"1684649483.588470014",
"1684649483.588470368",
"1684649483.588471072",
"1684649483.588471394",
"1684649483.588471711",
"1684649483.588472010",
"1684649483.588478651",
"1684649483.612851293","0.024409707"
"1684649483.612865568","0.024401824"
"1684649483.612871480","0.024401112"
"1684649483.616153796",
"1684649483.616155104",
"1684649483.616155549",
"1684649483.616155908",
"1684649483.616156259",
"1684649483.616156555",
"1684649483.616164571",
"1684649483.616164977",
"1684649483.616165298",
"1684649483.616165595",
"1684649483.616175538",
"1684649483.616175901",
"1684649483.619394640",
"1684649483.619396049",
"1684649483.619396451",
"1684649483.632778410","0.044299759"
"1684649483.632788522","0.016632614"
"1684649483.636061276",
"1684649483.636062608",
"1684649483.636063029",
"1684649483.636063393",
"1684649483.636063746",
"1684649483.636067022",
"1684649483.636067432",
"1684649483.636067793",
"1684649483.636068117",
"1684649483.639299296",
"1684649483.652828509","0.036652971"
"1684649483.652845693","0.033449242"
"1684649483.652850469","0.016787076"
"1684649483.656185059",
"1684649483.656186264",
"1684649483.656186711",
"1684649483.656187081",
"1684649483.656187451",
"1684649483.656187796",
"1684649483.656188125",
"1684649483.656188516",
"1684649483.656188878",
"1684649483.656189461",
"1684649483.656189941",
"1684649483.656203960",
"1684649483.656204428",
"1684649483.656205003",
"1684649483.659413926",
"1684649483.672858899","0.033559603"
"1684649483.672869488","0.016682407"
"1684649483.676190654",
"1684649483.676191870",
"1684649483.676192275",
"1684649483.676192618",
"1684649483.676192963",
"1684649483.676193629",
"1684649483.676195520",
"1684649483.676199023",
"1684649483.676199391",
"1684649483.676199755",
"1684649483.676200076",
"1684649483.692805270","0.036616392"
"1684649483.692819267","0.033405341"
"1684649483.692822510","0.016629892"
"1684649483.699425450",
"1684649483.699427098",
"1684649483.699427489",
"1684649483.699427836",
"1684649483.699428471",
"1684649483.699428827",
"1684649483.699429190",
"1684649483.699429570",
"1684649483.699429908",
"1684649483.699430251",
"1684649483.699430656",
"1684649483.699442368",
"1684649483.699442665",
"1684649483.699443019",
"1684649483.699447815",
"1684649483.712769387","0.036570364"
"1684649483.712781938","0.036581862"
"1684649483.712786980","0.013359144"
"1684649483.716055890",
"1684649483.716057228",
"1684649483.716057655",
"1684649483.716057986",
"1684649483.716059717",
"1684649483.716062468",
"1684649483.716062842",
"1684649483.716063184",
"1684649483.716077614",
"1684649483.716078070",
"1684649483.716078423",
"1684649483.716078733",
"1684649483.721966930",
"1684649483.721977819","0.022530004"
"1684649483.721981526",
"1684649483.725274686","0.003307756"
"1684649483.725277374",
"1684649483.725283563",
"1684649483.725284010",
"1684649483.725284378",
"1684649483.725284709",
"1684649483.725285036",
"1684649483.725285350",
"1684649483.725285676",
"1684649483.725285977",
"1684649483.725286259",
"1684649483.725286562",
"1684649483.728509848","0.006528322"
"1684649483.729981679","0.013923693"
"1684649483.731780290",
"1684649483.735053805",
"1684649483.735054828",
"1684649483.735055276",
"1684649483.752884346","0.036821162"
"1684649483.752894078","0.027616704"
"1684649483.752898534","0.027612858"
"1684649483.752902180","0.021121890"
"1684649483.752905748","0.017850472"
"1684649483.756188408",
"1684649483.756189724",
"1684649483.756190149",
"1684649483.756192619",
"1684649483.756193117",
"1684649483.756196768",
"1684649483.756197219",
"1684649483.756197569",
"1684649483.756197860",
"1684649483.756198161",
"1684649483.756198465",
"1684649483.756214069",
"1684649483.759435491",
"1684649483.759436644",
"1684649483.759437055",
"1684649483.759437432",
"1684649483.759437796",
"1684649483.759440852",
"1684649483.759441350",
"1684649483.759441685",
"1684649483.759442033",
"1684649483.759456177",
"1684649483.759456682",
"1684649483.759457039",
"1684649483.759457366",
"1684649483.792846357","0.036653738"
"1684649483.792858569","0.036661350"
"1684649483.792864004","0.033426208"
"1684649483.792867588","0.033410549"
"1684649483.796214133",
"1684649483.796215625",
"1684649483.796216038",
"1684649483.796216449",
"1684649483.796219922",
"1684649483.796220302",
"1684649483.796220957",
"1684649483.796225242",
"1684649483.796225640",
"1684649483.796225956",
"1684649483.796226270",
"1684649483.796226899",
"1684649483.796227200",
"1684649483.799448065",
"1684649483.799449148",
"1684649483.799449548",
"1684649483.799449984",
"1684649483.799450351",
"1684649483.799450712",
"1684649483.799451075",
"1684649483.799451443",
"1684649483.799451801",
"1684649483.799452160",
"1684649483.799452616",
"1684649483.799453009",
"1684649483.812810668","0.016594219"
"1684649483.816077711",
"1684649483.816078832",
"1684649483.816079264",
"1684649483.816079643",
"1684649483.816080015",
"1684649483.832858472","0.036633230"
"1684649483.832868463","0.033418479"
"1684649483.832872704","0.033419695"
"1684649483.832875769","0.016796126"
"1684649483.836189612",
"1684649483.836191086",
"1684649483.836191486",
"1684649483.836191863",
"1684649483.836199538",
"1684649483.836199901",
"1684649483.836200227",
"1684649483.836200565",
"1684649483.836200914",
"1684649483.836201220",
"1684649483.839443815",
"1684649483.839444963",
"1684649483.839450662",
"1684649483.839451082",
"1684649483.839451431",
"1684649483.839451727",
"1684649483.839452033",
"1684649483.839452327",
"1684649483.839452654",
"1684649483.839452966",
"1684649483.839453302",
"1684649483.839453591",
"1684649483.839468179",
"1684649483.839468622",
"1684649483.839468974",
"1684649483.839469286",
"1684649483.852845115","0.016653252"
"1684649483.852859753",
"1684649483.856147976","0.003288223"
"1684649483.856152381",
"1684649483.856152729",
"1684649483.856153088",
"1684649483.856153403",
"1684649483.856154696",
"1684649483.862101801",
"1684649483.862114186",
"1684649483.862118435","0.025917870"
"1684649483.862122513","0.022671851"
"1684649483.862126320","0.022673666"
"1684649483.862129999","0.022661025"
"1684649483.865444271","0.003342470"
"1684649483.865446674","0.003332488"
"1684649483.865451068",
"1684649483.865451556",
"1684649483.865451898",
"1684649483.865452195",
"1684649483.865453528",
"1684649483.865456994",
"1684649483.865457322",
"1684649483.865457615",
"1684649483.865458000",
"1684649483.865458663",
"1684649483.865464528",
"1684649483.868697988",
"1684649483.868699115",
"1684649483.868699503",
"1684649483.868699888",
"1684649483.868700246",
"1684649483.868700617",
"1684649483.868700977",
"1684649483.868701365",
"1684649483.868702142",
"1684649483.868702706",
"1684649483.868703050",
"1684649483.869977947",
"1684649483.869989095","0.013836007"
"1684649483.871953094","0.001975147"
"1684649483.871957543",
"1684649483.871957921",
"1684649483.871958283",
"1684649483.875200722",
"1684649483.878030783","0.021876087"
"1684649483.881739826",
"1684649483.881740834",
"1684649483.881741181",
"1684649483.892925111","0.027460583"
"1684649483.892934918",
"1684649483.892942979",
"1684649483.892946636",
"1684649483.892950316",
"1684649483.892953999",
"1684649483.896229737",
"1684649483.896230985",
"1684649483.896231389",
"1684649483.896231758",
"1684649483.896232121",
"1684649483.896232477",
"1684649483.896235748",
"1684649483.896236123",
"1684649483.896236478",
"1684649483.896236725",
"1684649483.899457890",
"1684649483.899460298","0.006525380"
"1684649483.912937017",
"1684649483.912947777",
"1684649483.912951177",
"1684649483.912958662",
"1684649483.912964434",
"1684649483.912969453",
"1684649483.912983062",
"1684649483.912986846",
"1684649483.912990467",
"1684649483.912993545",
"1684649483.912997231",
"1684649483.921693925",
"1684649483.921705172",
"1684649483.921712082",
"1684649483.921717235",
"1684649483.921723770",
"1684649483.921729035",
"1684649483.921733004",
"1684649483.921736595",
"1684649483.921740089",
"1684649483.921743771",
"1684649483.921747765",
"1684649483.922830142",
"1684649483.922832749",
"1684649483.926079659",
"1684649483.929854704",
